Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"1374-1","Studios","Spider-Man",2002,"Green Goblin",2,58,4.99,7,,,,673419012478,14.4,14.4,4.8,,"",1,1,0,,,,,,,,,152.8000,49.9400,"23/04/2002","31/12/2003"
"1376-1","Studios","Spider-Man",2002,"Spider-Man Action Studio",5,248,24.99,30,,,,673419010382,28.8,28.8,6,,"",1,1,0,,,,,,,,,130.7800,68.6800,"01/04/2002","30/06/2003"
"1737-1","Space","Exploriens",1996,"Scorpion Detector",2,196,,20,,,,042884017378,,,,,"",1,1,0,,,,,,,,,165.0000,35.0000,"",""
"3423-1","Sports","Football",2002,"Freekick Frenzy",2,54,7.99,10,,,,673419010481,19.2,14.4,6,,"",1,1,0,,,,,,,,,22.0000,5.6400,"01/01/2002","30/06/2004"
"3425-2","Sports","Football",2002,"Grand Championship Cup ",22,570,,,,,,,48,38.4,9.6,,"",1,1,0,,,,,,,,,,98.8300,"01/03/2002","31/12/2002"
"3431-1","Sports","Basketball",2003,"Street Ball 2 vs. 2",4,186,14.99,20,,,5702014265103,673419018371,28.8,19.2,7.2,0.45,"",1,1,0,,,,,,,,,140.0000,38.4700,"01/01/2003","31/12/2004"
"4475-1","Star Wars","Episode VI",2003,"Jabba's Message",3,44,5.99,7,,,5702014259386,673419017169,14.4,14.4,3.9,,"",1,1,0,,,,,,,,,77.4600,40.6100,"01/01/2003","31/12/2003"
"4478-1","Star Wars","Episode II",2003,"Geonosian Fighter",4,170,19.99,20,,,5702014259409,,28.8,19.2,4.8,,"",1,1,0,,,,,,,,,175.4600,83.0300,"01/01/2003","31/12/2004"
"4484-1","Star Wars","Mini Building Set",2003,"X-wing Fighter & TIE Advanced",,76,3.99,4,,,5702014260337,673419017374,11,14.4,4.4,,"",1,1,0,,,,,,,,,23.8500,10.5500,"01/01/2003","31/12/2003"
"4488-1","Star Wars","Mini Building Set",2003,"Millennium Falcon",,87,6.99,7,,,,673419017336,14.4,14.4,4.4,,"",1,1,0,,,,,,,,,42.3600,18.0100,"01/06/2003","01/06/2004"
"4489-1","Star Wars","Mini Building Set",2003,"AT-AT",,98,6.99,7,,,,673419017329,14.4,14.4,4.4,,"",1,1,0,,,,,,,,,31.7400,14.1900,"01/06/2003","01/06/2004"
"4490-1","Star Wars","Mini Building Set",2003,"Republic Gunship",,102,6.99,7,,,,673419017312,14.4,14.4,4.4,,"",1,1,0,,,,,,,,,28.9900,15.9200,"01/06/2003","01/06/2004"
"4500-1","Star Wars","Episode V",2004,"Rebel Snowspeeder",3,214,19.99,20,,,5702014364738,673419060141,28.8,19.2,6,0.28,"",1,1,0,,,,,,,,,139.2200,39.9700,"01/01/2004","31/12/2005"
"4566-1","Racers","Xalax",2001,"Gear",1,8,,3,,,,,,,,,"",1,1,0,,,,,,,,,26.2000,11.8600,"",""
"4567-1","Racers","Xalax",2001,"Surfer",1,8,,3,,,,,,,,,"",1,1,0,,,,,,,,,12.0000,2.9300,"",""
"4568-1","Racers","Xalax",2001,"Loopin",1,8,,3,,,,,,,,,"",1,1,0,,,,,,,,,24.9900,8.5100,"",""
"4569-1","Racers","Xalax",2001,"Warrior",1,8,2.99,3,,,,,,,,,"",1,1,0,,,,,,,,,10.2100,10.4900,"",""
"4570-1","Racers","Xalax",2001,"Shredd",1,8,,3,,,,,,,,,"",1,1,0,,,,,,,,,16.8600,8.8100,"",""
"4571-1","Racers","Xalax",2001,"Spiky",1,8,,3,,,,,,,,,"",1,1,0,,,,,,,,,18.8200,3.9200,"",""
"4572-1","Racers","Xalax",2001,"Scratch",1,8,,3,,,,,,,,,"",1,1,0,,,,,,,,,15.8500,9.8100,"",""
"4573-1","Racers","Xalax",2001,"Lightor",1,8,2.99,3,,,,,,,,,"",1,1,0,,,,,,,,,34.9900,3.5500,"",""
"4593-1","Racers","Drome Racers",2002,"Zero Hurricane and Red Blizzard",2,70,4.99,6.99,,,,,19.2,14.4,4.8,,"",1,1,0,,,,,,,,,16.5700,3.9900,"01/01/2002","31/12/2003"
"4607-1","Jack Stone","",2001,"Copter Transport",2,64,14.99,20,,,,,,,,,"",1,1,0,,,,,,,,,29.7200,11.9900,"",""
"4695-1","Harry Potter","Prisoner of Azkaban",2004,"Mini Harry Potter Knight Bus",,58,,,,,5702014400160,673419046244,17,17,0,,"",1,1,0,,,,,,,,,25.9500,4.9900,"01/04/2004","31/12/2004"
"4701-1","Harry Potter","Philosopher's Stone",2001,"Sorting Hat",1,48,4.99,7,,,5702012016592,042884047016,14.4,14.4,4.8,,"",1,1,0,,,,,,,,,61.0000,12.3900,"01/09/2001","31/12/2002"
"4702-1","Harry Potter","Philosopher's Stone",2001,"The Final Challenge",2,60,8.99,10,,,5702012016608,042884047023,14.4,19.2,4.8,,"",1,1,0,,,,,,,,,48.0000,18.0300,"01/09/2001","31/12/2002"
"4706-1","Harry Potter","Philosopher's Stone",2001,"Forbidden Corridor",3,238,24.99,30,,,5702012016646,042884047061,28.8,28.8,7.2,,"",1,1,0,,,,,,,,,68.7500,42.5400,"01/10/2001","31/12/2003"
"4720-1","Harry Potter","Chamber of Secrets",2003,"Knockturn Alley",2,209,19.99,20,,,5702014291522,673419020763,28.8,19.2,6,,"",1,1,0,,,,,,,,,147.9600,64.0800,"01/04/2003","31/12/2004"
"4722-1","Harry Potter","Philosopher's Stone",2001,"Gryffindor",1,68,8.99,10,,,5702012017995,042884047221,19.2,19.2,4.8,,"",1,1,0,,,,,,,,,77.2400,33.5200,"01/09/2001","31/12/2002"
"4726-1","Harry Potter","Chamber of Secrets",2002,"Quidditch Practice",3,128,11.99,13,,,5702014169098,673419015073,19.2,19.2,6,,"",1,1,0,,,,,,,,,57.5000,13.4800,"20/09/2002","31/12/2004"
"4727-1","Harry Potter","Chamber of Secrets",2002,"Aragog in the Dark Forest",2,178,17.99,20,,,5702014169128,673419015080,28.8,19.2,4.8,,"",1,1,0,,,,,,,,,65.4500,21.0900,"20/09/2002","31/12/2003"
"4731-1","Harry Potter","Chamber of Secrets",2002,"Dobby's Release",2,70,5.99,7,,,5702014244399,673419016063,14.4,14.4,4.8,,"",1,1,0,,,,,,,,,44.1900,18.5500,"20/09/2002","31/12/2003"
"4753-1","Harry Potter","Prisoner of Azkaban",2004,"Sirius Black's Escape",3,188,17.99,20,,,5702014363748,673419033565,19.2,28.8,6,0.36,"",1,1,0,,,,,,,,,105.0700,37.2200,"05/04/2004","31/12/2004"
"4754-1","Harry Potter","Prisoner of Azkaban",2004,"Hagrid's Hut",2,302,19.99,30,,,5702014363755,673419033572,28.8,28.8,6,0.58,"",1,1,0,,,,,,,,,121.2600,48.0200,"05/04/2004","31/12/2005"
"4755-1","Harry Potter","Prisoner of Azkaban",2004,"Knight Bus",2,243,19.99,30,,,5702014364509,673419033756,28.8,28.8,7.2,0.55,"",1,1,0,,,,,,,,,98.0600,46.1800,"05/04/2004","31/12/2005"
"4766-1","Harry Potter","Goblet of Fire",2005,"Graveyard Duel",6,548,29.99,30,,,5702014426399,673419057370,38.4,28.8,6,0.8,"",1,1,0,,,,,,,,,401.7800,168.0400,"01/10/2005","31/07/2006"
"4850-1","Spider-Man","Original Film",2003,"Spider-Man's first chase",3,191,17.99,20,,,5702014312043,,28.8,19.2,7.2,,"",1,1,0,,,,,,,,,299.9900,79.9900,"01/10/2003","30/06/2004"
"4855-1","Spider-Man","Spider-Man 2",2004,"Spider-Man's Train Rescue",4,294,29.99,30,,,,673419036290,28.8,28.8,6,0.48,"",1,1,0,,,,,,,,,284.8700,108.6100,"01/04/2004","31/12/2004"
"4920-1","Rock Raiders","",1999,"Rapid Rider",1,39,,4,,,,,14.4,7.2,6,,"",1,1,0,,,,,,,,,53.0300,11.0400,"01/06/1999","31/12/2000"
"4953-1","Creator","3 in 1",2007,"Fast Flyers",,312,,19.99,,,5702014499973,673419091596,28.8,28.8,6,0.59,"",1,1,0,,,,,,,,,78.8800,15.2800,"01/01/2007","31/12/2008"
"5610-1","City","Construction",2008,"Builder",1,23,2.45,3.49,,,5702014517134,,9.6,9.6,4.8,,"",1,1,0,,,,,,,,,7.6500,3.7300,"01/01/2008","31/12/2009"
"5617-1","Space","Mars Mission",2008,"Alien Jet",1,21,1.95,,,,5702014516052,,9.6,9.6,4.8,,"",1,1,0,,,,,,,,,10.3700,3.9700,"01/01/2008","31/12/2008"
"5619-1","Space","Mars Mission",2008,"Crystal Hawk",1,26,2.45,3.49,,,5702014517271,673419102490,9.6,9.6,4.8,0.04,"",1,1,0,,,,,,,,,10.8200,5.4200,"01/06/2008","31/12/2008"
"6007-1","Castle","Fright Knights",1997,"Bat Lord",1,12,,4.5,,,,042884060077,,,,,"",1,1,0,,,,,,,,,127.7600,28.8000,"",""
"6057-1","Castle","Black Knights",1992,"Sea Serpent",5,126,,16.5,,,,,,,,,"",1,1,0,,,,,,,,,337.5000,67.5200,"",""
"6094-1","Castle","Knights' Kingdom I",2000,"Guarded Treasure",2,103,,15,,,,042884060947,14.4,24,7.2,,"",1,1,0,,,,,,,,,50.0000,23.7000,"01/01/2000","31/12/2002"
"6340-1","Town","Fire",1994,"Hook & Ladder",2,177,,20,,,5702010963409,,,,,,"",1,1,0,,,,,,,,,64.6000,17.7300,"",""
"6361-1","Town","Vehicles",1986,"Mobile Crane",1,163,,12.75,,,,,,,,,"",1,1,0,,,,,,,,,378.1000,25.2600,"",""
"6418-1","Town","Paradisa",1996,"Country Club",5,280,,42,,,,,,,,,"",1,1,0,,,,,,,,,548.4100,160.4500,"",""
"6615-1","Town","Flight",1996,"Eagle Stunt Flyer",1,76,,8.75,,,,,19.2,9.6,4.8,,"",1,1,0,,,,,,,,,50.1300,11.6000,"01/07/1996","31/12/1997"
"6649-1","Town","Maintenance",1995,"Street Sweeper",1,63,,6.75,,,5702010966493,,,,,,"",1,1,0,,,,,,,,,66.4200,10.6300,"",""
"6670-1","Town","Vehicles",1993,"Rescue Rig",1,114,,9.25,,,5702010966707,,,,,,"",1,1,0,,,,,,,,,72.0000,12.5300,"",""
"6721-1","Dinosaurs","",2001,"Mosasaurus",,26,7.99,10,,,,,,,,,"",1,1,0,,,,,,,,,115.0000,37.9600,"",""
"6814-1","Space","Ice Planet 2002",1993,"Ice Tunnelator",1,25,,3,,,,,,,,,"",1,1,0,,,,,,,,,48.0800,8.1700,"",""
"6815-1","Space","Exploriens",1996,"Hovertron",1,29,,3,,,5702010968152,,,,,,"",1,1,0,,,,,,,,,33.1100,6.1500,"",""
"6856-1","Space","Exploriens",1996,"Planetary Decoder",1,80,,8,,,,,19.2,14.4,4.8,,"",1,1,0,,,,,,,,,56.7000,12.1800,"01/04/1996","31/12/1997"
"6865-1","Marvel Super Heroes","The Avengers",2012,"Captain America's Avenging Cycle",3,72,11.99,12.99,15.99,,5702014842397,673419168434,19.1,14.1,4.6,0.11,"",1,1,0,,,,,,,,,21.4300,6.7500,"01/05/2012","31/07/2013"
