MinifigNumber,MinifigName,CharacterName,MinifigCategory,AppearsIn,OwnedInSets,OwnedLoose,Notes,Value new (USD),Value used (USD)
"30598pb02","Shredd","Shredd","Racers / Xalax","4570-1",1,0,"",0.4800,0.2000
"30598pb03","Scratch","Scratch","Racers / Xalax","4572-1",1,0,"",0.4500,0.3500
"30598pb04","Lightor / Subzero","Lightor / Subzero","Racers / Xalax","1202-1,1239-1,4573-1",1,0,"",3.0000,0.2000
"30598pb06","Gear","Gear","Racers / Xalax","4566-1",1,0,"",0.5000,0.6400
"30599pb02","Surfer","Surfer","Racers / Xalax","4567-1",1,0,"",1.1200,0.3500
"30599pb03","Warrior","Warrior","Racers / Xalax","4569-1",1,0,"",0.1300,0.2400
"30599pb04","Spiky","Spiky","Racers / Xalax","4571-1",1,0,"",0.1400,0.3200
"30599pb07","Loopin","Loopin","Racers / Xalax","4568-1",1,0,"",0.0900,0.2600
"51635","Bionicle Mini - Toa Hordika Whenua","","BIONICLE / Toa Hordika","8757-1,8758-1,8759-1,8769-1",1,0,"",0.5700,0.4400
"51636","Bionicle Mini - Toa Hordika Matau","","BIONICLE / Toa Hordika","8757-1,8758-1,8759-1,8769-1",1,0,"",0.5900,0.4000
"51637","Bionicle Mini - Toa Hordika Vakama","","BIONICLE / Toa Hordika","8757-1,8758-1,8759-1,8769-1",1,0,"",1.0700,0.4300
"51638","Bionicle Mini - Toa Hordika Nokama","","BIONICLE / Toa Hordika","8757-1,8758-1,8759-1,8769-1",1,0,"",0.8200,0.4100
"51639","Bionicle Mini - Toa Hordika Onewa","","BIONICLE / Toa Hordika","8757-1,8758-1,8759-1,8769-1",1,0,"",0.9300,0.4100
"51640","Bionicle Mini - Toa Hordika Nuju","","BIONICLE / Toa Hordika","8757-1,8758-1,8759-1,8769-1",1,0,"",0.6200,0.3600
"51991a","Bionicle Mini - Visorak Boggarak","","BIONICLE / Visorak","8757-1,8758-1,8759-1,8769-1",1,0,"",0.6600,0.5100
"51991b","Bionicle Mini - Visorak Keelerak","","BIONICLE / Visorak","8757-1,8758-1,8759-1,8769-1",1,0,"",0.6200,0.4100
"51991c","Bionicle Mini - Visorak Oohnorak","","BIONICLE / Visorak","8757-1,8758-1,8759-1,8769-1",2,0,"",0.5200,0.3800
"51991d","Bionicle Mini - Visorak Roporak","","BIONICLE / Visorak","8757-1,8758-1,8759-1,8769-1",1,0,"",0.5100,0.4500
"51991e","Bionicle Mini - Visorak Suukorak (Undetermined Glow in the Dark Side)","","BIONICLE / Visorak","8757-1,8758-1,8759-1",2,0,"",0.5800,0.3500
"51991f","Bionicle Mini - Visorak Vohtarak","","BIONICLE / Visorak","8757-1,8758-1,8759-1,8769-1",1,0,"",0.3800,0.4500
"90398pb044","Ant-Man (Scott Lang) Statuette / Trophy - Upgraded Suit (6353238)","Ant-Man","Super Heroes / The Infinity Saga","76192-1,76269-1",1,0,"",1.0900,1.0700
"90398pb045","Alastor Moody Statuette / Trophy","Alastor 'Mad-Eye' Moody","Harry Potter / General","76397-1",1,0,"",1.4300,1.3400
"aqu023","Aquaraider Diver 8 with Black Flippers","","Aquazone / Aquaraiders II","7773-1,7774-1",1,0,"",4.3500,1.5400
"aqu025","Aquaraider Diver 6 with Black Flippers","","Aquazone / Aquaraiders II","7771-1,7773-1",1,0,"",2.8000,1.6600
"avt001","Neytiri - Yellow Armor and War Paint","Neytiri","Avatar / General","75571-1",1,0,"",6.1500,5.5600
"avt002","Colonel Miles Quaritch","Colonel Miles Quaritch","Avatar / General","75571-1",1,0,"",6.5600,5.2300
"avt007","Dr. Grace Augustine","Dr. Grace Augustine","Avatar / General","75573-1",1,0,"",5.3900,7.9700
"avt008","Trudy Chacon","Trudy Chacon","Avatar / General","75573-1",1,0,"",5.7700,5.3300
"avt009","Norm Spellman - Na'vi","Norm Spellman","Avatar / General","75573-1",1,0,"",6.7100,15.0000
"avt010","Jake Sully - Human","Jake Sully","Avatar / General","75573-1",1,0,"",5.3200,7.5000
"avt011","Jake Sully - Na'vi, Shoulder Strap, Orange Face Paint","Jake Sully","Avatar / General","75573-1",1,0,"",5.4300,5.7500
"avt022","Jake Sully - Na'vi, Shoulder Strap, Utility Belt","Jake Sully","Avatar / The Way of Water","75576-1",1,0,"",7.2000,7.1800
"avt023","Tonowari - Reddish Brown Strap and Silver Belt","Tonowari","Avatar / The Way of Water","75576-1",1,0,"",6.1300,11.1100
"bat002","Batman, Black Suit","Batman","Batman I / General","7781-1,7783-1,7785-1,comcon003-1,DC1-1",1,0,"",16.0100,10.5100
"bat004","Two-Face with Black Stripe Hips","Two-Face","Batman I / General","7781-1",1,0,"",40.0400,29.5400
"bat006","Two-Face's Henchman","Two-Face's Henchman","Batman I / General","7781-1",1,0,"",16.2900,7.7400
"bio001","Bionicle Mini - Piraka Zaktan","","BIONICLE / Piraka","8624-1,8893-1,8894-1",1,0,"",2.9400,1.9200
"bio002","Bionicle Mini - Piraka Thok","","BIONICLE / Piraka","6937-1,8624-1,8892-1,8894-1",1,0,"",8.5200,2.3100
"bio003","Bionicle Mini - Piraka Hakann","","BIONICLE / Piraka","6936-1,8624-1,8893-1,8894-1",1,0,"",2.6800,1.8800
"bio004","Bionicle Mini - Piraka Reidak","","BIONICLE / Piraka","8624-1,8892-1,8894-1",1,0,"",4.5000,1.8300
"bio005","Bionicle Mini - Toa Inika Jaller","","BIONICLE / Toa Inika","8624-1,8892-1,8894-1",1,0,"",3.1100,1.7200
"bio006","Bionicle Mini - Toa Inika Nuparu","","BIONICLE / Toa Inika","8624-1,8893-1,8894-1",1,0,"",2.0600,1.6800
"bio007","Bionicle Mini - Toa Inika Hewkii","","BIONICLE / Toa Inika","8624-1,8893-1,8894-1",1,0,"",3.1100,1.7900
"bio008","Bionicle Mini - Toa Inika Hahli","","BIONICLE / Toa Inika","8624-1,8893-1,8894-1",1,0,"",2.6200,1.7800
"bio009","Bionicle Mini - Toa Inika Matoro","","BIONICLE / Toa Inika","8893-1,8894-1",1,0,"",1.9600,1.8000
"bio010","Bionicle Mini - Piraka Avak","","BIONICLE / Piraka","8893-1,8894-1",1,0,"",2.6000,1.9500
"bio011","Bionicle Mini - Piraka Vezok","","BIONICLE / Piraka","8893-1,8894-1",1,0,"",2.5600,1.7000
