MinifigNumber,MinifigName,CharacterName,MinifigCategory,AppearsIn,OwnedInSets,OwnedLoose,Notes,Value new (USD),Value used (USD),
30598pb02,Shredd,Shredd,Racers / Xalax,4570-1,1,0,,0.48,0.2,9
30598pb03,Scratch,Scratch,Racers / Xalax,4572-1,1,0,,0.45,0.35,
30598pb04,Lightor / Subzero,Lightor / Subzero,Racers / Xalax,"1202-1,1239-1,4573-1",1,0,,3,0.2,
30598pb06,Gear,Gear,Racers / Xalax,4566-1,1,0,,0.5,0.64,
30599pb02,Surfer,Surfer,Racers / Xalax,4567-1,1,0,,1.12,0.35,
30599pb03,Warrior,Warrior,Racers / Xalax,4569-1,1,0,,0.13,0.24,
30599pb04,Spiky,Spiky,Racers / Xalax,4571-1,1,0,,0.14,0.32,
30599pb07,Loopin,Loopin,Racers / Xalax,4568-1,1,0,,0.09,0.26,
51635,Bionicle Mini - Toa Hordika Whenua,-,BIONICLE / Toa Hordika,"8757-1,8758-1,8759-1,8769-1",1,0,,0.57,0.44,
51636,Bionicle Mini - Toa Hordika Matau,-,BIONICLE / Toa Hordika,"8757-1,8758-1,8759-1,8769-1",1,0,,0.59,0.4,
51637,Bionicle Mini - Toa Hordika Vakama,-,BIONICLE / Toa Hordika,"8757-1,8758-1,8759-1,8769-1",1,0,,1.07,0.43,
51638,Bionicle Mini - Toa Hordika Nokama,-,BIONICLE / Toa Hordika,"8757-1,8758-1,8759-1,8769-1",1,0,,0.82,0.41,
51639,Bionicle Mini - Toa Hordika Onewa,-,BIONICLE / Toa Hordika,"8757-1,8758-1,8759-1,8769-1",1,0,,0.93,0.41,
51640,Bionicle Mini - Toa Hordika Nuju,-,BIONICLE / Toa Hordika,"8757-1,8758-1,8759-1,8769-1",1,0,,0.62,0.36,
51991a,Bionicle Mini - Visorak Boggarak,-,BIONICLE / Visorak,"8757-1,8758-1,8759-1,8769-1",1,0,,0.66,0.51,
51991b,Bionicle Mini - Visorak Keelerak,-,BIONICLE / Visorak,"8757-1,8758-1,8759-1,8769-1",1,0,,0.62,0.41,
51991c,Bionicle Mini - Visorak Oohnorak,-,BIONICLE / Visorak,"8757-1,8758-1,8759-1,8769-1",2,0,,0.52,0.38,
